transaction_id,timestamp,user_id,device_id,ip_address,amount_inr,payment_method,merchant_category,shipping_city,shipping_address_id,is_fraud,cluster_type
txn_0012189,2026-05-01 02:22:08,user_06330,dev_08934,202.214.221.191,544.93,NetBanking,Electronics,Hyderabad,addr_02260,0,independent
txn_0014130,2026-05-01 04:00:41,user_09744,dev_06295,152.125.234.142,475.9,UPI,Food Delivery,Pune,addr_07284,0,cafe_wifi
txn_0014132,2026-05-01 04:04:49,user_09502,dev_05184,152.125.234.142,139.82,UPI,Gaming,Pune,addr_07737,0,cafe_wifi
txn_0014133,2026-05-01 04:07:41,user_09175,dev_06601,152.125.234.142,265.31,UPI,Food Delivery,Pune,addr_07328,0,cafe_wifi
txn_0014131,2026-05-01 04:24:43,user_09699,dev_08131,152.125.234.142,82.83,UPI,Subscription,Pune,addr_04207,0,cafe_wifi
txn_0014135,2026-05-01 04:39:44,user_09437,dev_03290,152.125.234.142,177.43,Wallet,Gaming,Pune,addr_06842,0,cafe_wifi
txn_0014136,2026-05-01 04:41:21,user_09628,dev_09203,152.125.234.142,374.34,Wallet,Subscription,Pune,addr_07327,0,cafe_wifi
txn_0014134,2026-05-01 04:50:12,user_09264,dev_07001,152.125.234.142,195.52,Wallet,Food Delivery,Pune,addr_00536,0,cafe_wifi
txn_0000745,2026-05-01 05:01:32,user_07971,dev_06831,64.217.36.60,399.3,NetBanking,Travel,Hyderabad,addr_02678,0,independent
txn_0008459,2026-05-01 05:46:13,user_07339,dev_07800,214.180.85.117,728.89,Card,Subscription,Chennai,addr_06523,0,independent
txn_0013191,2026-05-01 05:53:51,user_08961,dev_05773,74.76.34.3,1432.77,NetBanking,Gaming,Mumbai,addr_00492,0,independent
txn_0003054,2026-05-01 06:39:31,user_07603,dev_08203,20.225.95.212,250.11,UPI,Electronics,Mumbai,addr_00653,0,independent
txn_0011170,2026-05-01 06:40:05,user_04847,dev_06491,84.69.45.140,1342.7,UPI,Travel,Chennai,addr_02246,0,independent
txn_0007968,2026-05-01 07:19:22,user_06046,dev_07867,187.138.95.66,235.8,Card,Grocery,Hyderabad,addr_03608,0,independent
txn_0009496,2026-05-01 07:26:56,user_06573,dev_09237,83.82.161.55,593.09,Wallet,Travel,Pune,addr_07191,0,independent
txn_0002671,2026-05-01 07:38:53,user_04783,dev_06913,209.241.111.16,289.34,UPI,Subscription,Kolkata,addr_04647,0,independent
txn_0007177,2026-05-01 08:07:46,user_05917,dev_04763,2.165.62.72,742.11,UPI,Travel,Kolkata,addr_04965,0,independent
txn_0001892,2026-05-01 08:24:15,user_00994,dev_09183,135.167.177.106,287.63,UPI,Food Delivery,Jaipur,addr_00392,0,independent
txn_0006954,2026-05-01 08:31:17,user_02192,dev_02659,152.98.24.178,1140.23,UPI,Gift Cards,Pune,addr_03579,0,independent
txn_0007676,2026-05-01 08:47:06,user_00990,dev_08942,25.150.101.192,413.17,Card,Gaming,Pune,addr_01219,0,independent
txn_0011229,2026-05-01 08:49:20,user_04923,dev_04915,27.164.217.130,550.1,UPI,Grocery,Kolkata,addr_01502,0,independent
txn_0013338,2026-05-01 08:51:19,user_06640,dev_07344,170.148.33.115,425.39,Wallet,Subscription,Mumbai,addr_02853,0,independent
txn_0010075,2026-05-01 09:03:34,user_02721,dev_06913,4.139.58.225,737.33,UPI,Fashion,Ahmedabad,addr_05248,0,independent
txn_0008435,2026-05-01 09:27:15,user_08343,dev_01442,66.201.235.154,376.39,Card,Gift Cards,Ahmedabad,addr_03063,0,independent
txn_0006254,2026-05-01 09:38:17,user_07259,dev_01894,3.194.72.3,234.14,UPI,Gift Cards,Delhi,addr_02350,0,independent
txn_0012027,2026-05-01 09:39:03,user_03367,dev_00431,31.232.36.20,2799.33,Card,Gift Cards,Guntur,addr_04970,0,independent
txn_0005179,2026-05-01 09:40:25,user_01773,dev_03102,201.182.252.6,1874.37,NetBanking,Food Delivery,Kolkata,addr_06528,0,independent
txn_0002507,2026-05-01 09:44:42,user_04378,dev_05482,136.62.232.165,369.49,UPI,Fashion,Jaipur,addr_00299,0,independent
txn_0009771,2026-05-01 09:53:00,user_05117,dev_08448,5.144.95.181,1105.45,UPI,Gift Cards,Delhi,addr_05516,0,independent
txn_0001305,2026-05-01 10:04:03,user_08723,dev_06839,54.242.203.120,244.83,Wallet,Food Delivery,Mumbai,addr_01011,0,independent
txn_0004176,2026-05-01 10:06:00,user_06429,dev_05648,72.172.17.77,269.74,Wallet,Subscription,Chennai,addr_04052,0,independent
txn_0003974,2026-05-01 10:06:23,user_06736,dev_05968,104.107.154.139,664.76,NetBanking,Gift Cards,Bengaluru,addr_07010,0,independent
txn_0012406,2026-05-01 10:10:57,user_05055,dev_05196,8.100.88.39,168.15,Wallet,Travel,Pune,addr_06712,0,independent
txn_0006919,2026-05-01 10:13:36,user_07350,dev_07752,56.160.15.91,2250.31,UPI,Electronics,Kolkata,addr_05250,0,independent
txn_0004948,2026-05-01 10:15:28,user_02574,dev_01685,195.20.154.99,1439.87,Wallet,Gift Cards,Pune,addr_06631,0,independent
txn_0005717,2026-05-01 10:39:55,user_02094,dev_06102,103.94.144.172,6793.27,Wallet,Food Delivery,Chennai,addr_03252,0,independent
txn_0007903,2026-05-01 10:53:03,user_05594,dev_03956,129.19.130.56,716.08,UPI,Food Delivery,Jaipur,addr_08421,0,independent
txn_0002877,2026-05-01 10:57:01,user_01950,dev_04638,190.41.219.240,171.77,UPI,Gift Cards,Jaipur,addr_04562,0,independent
txn_0005020,2026-05-01 11:10:08,user_00702,dev_07840,107.177.204.132,863.72,Wallet,Gift Cards,Kolkata,addr_05316,0,independent
txn_0008827,2026-05-01 11:18:52,user_01162,dev_00975,200.246.226.19,2302.89,UPI,Electronics,Pune,addr_06356,0,independent
txn_0001791,2026-05-01 11:25:55,user_04108,dev_03301,88.91.225.238,433.05,Wallet,Food Delivery,Pune,addr_00356,0,independent
txn_0012371,2026-05-01 11:41:04,user_00273,dev_04608,13.4.76.6,432.34,UPI,Travel,Guntur,addr_06925,0,independent
txn_0012470,2026-05-01 11:45:11,user_07785,dev_02302,67.97.18.149,1081.14,Card,Electronics,Bengaluru,addr_02235,0,independent
txn_0005167,2026-05-01 11:48:13,user_01379,dev_07623,186.113.43.81,2488.03,Card,Travel,Mumbai,addr_05980,0,independent
txn_0001338,2026-05-01 11:52:51,user_04762,dev_08524,34.11.4.218,1334.39,UPI,Food Delivery,Guntur,addr_01651,0,independent
txn_0006757,2026-05-01 11:56:53,user_00569,dev_00616,170.127.150.1,436.9,Wallet,Gaming,Bengaluru,addr_03421,0,independent
txn_0003569,2026-05-01 12:09:24,user_02229,dev_09128,160.201.74.84,1573.15,Wallet,Gift Cards,Hyderabad,addr_05973,0,independent
txn_0006985,2026-05-01 12:17:46,user_05243,dev_04091,185.130.6.193,774.96,Card,Food Delivery,Kolkata,addr_00633,0,independent
txn_0004732,2026-05-01 12:35:18,user_05629,dev_02023,68.95.188.163,596.75,Wallet,Gift Cards,Bengaluru,addr_07283,0,independent
txn_0005227,2026-05-01 12:48:05,user_01894,dev_08705,184.128.67.235,1144.94,Wallet,Fashion,Pune,addr_07590,0,independent
txn_0010663,2026-05-01 13:04:15,user_08821,dev_06148,62.60.175.194,1788.03,Wallet,Grocery,Bengaluru,addr_03849,0,independent
txn_0004917,2026-05-01 13:06:55,user_04227,dev_08688,157.22.208.77,291.91,Card,Subscription,Guntur,addr_06769,0,independent
txn_0010149,2026-05-01 13:12:45,user_06220,dev_05423,89.128.244.106,420.36,UPI,Gaming,Kolkata,addr_00435,0,independent
txn_0007939,2026-05-01 13:18:42,user_03781,dev_07104,74.231.236.3,811.49,Wallet,Electronics,Bengaluru,addr_02008,0,independent
